,Entity,Code,Year,Imported Deforestation,Net Traded Deforestation,Population,per Capita Imported Deforestation,per Capita Net Traded Deforestation
151,Belize,BLZ,2012,49.08627890569551,-417.870476404428,338001.0,0.00014522524757528974,-0.001236299526937577
152,Belize,BLZ,2013,54.58252074349491,-334.9312134979548,345707.0,0.00015788665182797835,-0.0009688297127276994
153,Benin,BEN,2005,516.5904471825684,145.05747746472753,7982223.0,6.471761653145601e-05,1.817256639719631e-05
154,Benin,BEN,2006,1204.8317036383196,1133.2685789072975,8216893.0,0.0001466286227213035,0.0001379193545428056
155,Benin,BEN,2007,1211.4338021787055,1188.0722524699768,8454790.0,0.0001432837246316828,0.00014052061050244617
156,Benin,BEN,2008,1716.5418591457556,1680.9260771697343,8696915.0,0.00019737365021340965,0.0001932784300145206
157,Benin,BEN,2009,1652.631238903552,1288.2970251157394,8944713.0,0.00018476067805680877,0.00014402888333205766
158,Benin,BEN,2010,1629.9588259044883,933.5392468342544,9199254.0,0.00017718380489379772,0.00010147988595969352
159,Benin,BEN,2011,2879.523165788338,2531.96932879864,9460829.0,0.00030436266904182896,0.00026762658206787586
160,Benin,BEN,2012,1335.191194703656,554.1518641067964,9729254.0,0.00013723469391421542,5.6957282038971994e-05
161,Benin,BEN,2013,1268.3379013569906,471.9727792321573,10004594.0,0.00012677554944828253,4.717560545007196e-05
162,Bermuda,BMU,2005,48.13399357728148,48.13399357728148,66260.0,0.0007264411949484074,0.0007264411949484074
163,Bermuda,BMU,2006,42.08651838891179,42.08651838891179,66240.0,0.0006353641061127988,0.0006353641061127988
164,Bermuda,BMU,2007,30.410989862161337,30.410989862161337,66126.0,0.00045989459308231766,0.00045989459308231766
165,Bermuda,BMU,2008,24.458130278476933,24.458130278476933,65940.0,0.0003709149268801476,0.0003709149268801476
166,Bermuda,BMU,2009,20.234669614114456,20.234669614114456,65675.0,0.0003081030774893712,0.0003081030774893712
167,Bermuda,BMU,2010,19.97422417106444,19.97422417106444,65388.0,0.00030547232169609776,0.00030547232169609776
168,Bermuda,BMU,2011,14.730552020380609,14.730552020380609,65075.0,0.0002263626895179502,0.0002263626895179502
169,Bermuda,BMU,2012,14.334305986870255,14.334305986870255,64736.0,0.0002214271191743428,0.0002214271191743428
170,Bermuda,BMU,2013,16.248051428864517,16.248051428864517,64381.0,0.00025237339321949827,0.00025237339321949827
171,Bhutan,BTN,2005,9.734234613820265,0.8112317184047697,648744.0,1.500473933295763e-05,1.2504650808404698e-06
172,Bhutan,BTN,2006,1.0217080023040808,0.3546713401923398,657404.0,1.5541554391273566e-06,5.395028630679762e-07
173,Bhutan,BTN,2007,3.0960761650859467,2.720571348018325,664873.0,4.656642945473717e-06,4.091866188006318e-06
174,Bhutan,BTN,2008,7.746569417334967,7.366165771671717,671611.0,1.1534309916506678e-05,1.0967905188675761e-05
175,Bhutan,BTN,2009,9.258965296241172,8.003740219524389,678329.0,1.3649667486192057e-05,1.1799201006479729e-05
176,Bhutan,BTN,2010,23.18623648408953,22.65616907578521,685502.0,3.382373280324424e-05,3.305047844613905e-05
177,Bhutan,BTN,2011,12.67132797323245,11.789874594400658,693297.0,1.827691158800983e-05,1.7005517973394747e-05
178,Bhutan,BTN,2012,23.36502153282197,23.20239569624431,701582.0,3.330333664891911e-05,3.307153789043092e-05
179,Bhutan,BTN,2013,3.883613041274941,3.8421008294910735,710235.0,5.468067669538872e-06,5.409619111267501e-06
180,Bosnia and Herzegovina,BIH,2005,835.4043657458707,835.4043657458707,3765332.0,0.0002218673853317239,0.0002218673853317239
