,Entity,Code,Year,Net_traded_Deforestation
260,Cameroon,CMR,2013,-335.6354398275944
261,Canada,CAN,2005,5387.216305163992
262,Canada,CAN,2006,5533.022948961417
263,Canada,CAN,2007,6331.469014438771
264,Canada,CAN,2008,5030.494172099739
265,Canada,CAN,2009,5503.007116610943
266,Canada,CAN,2010,6050.570249285576
267,Canada,CAN,2011,5542.45849958118
268,Canada,CAN,2012,5744.721993414849
269,Canada,CAN,2013,5401.245027811636
270,Cape Verde,CPV,2005,169.22093409576277
271,Cape Verde,CPV,2006,224.55879563911395
272,Cape Verde,CPV,2007,234.88057120818317
273,Cape Verde,CPV,2008,230.85391778273956
274,Cape Verde,CPV,2009,192.1515738640043
275,Cape Verde,CPV,2010,201.1332243283056
276,Cape Verde,CPV,2011,206.3166554570149
277,Cape Verde,CPV,2012,225.2958451440197
278,Cape Verde,CPV,2013,279.15633031983765
279,Cayman Islands,CYM,2005,5123.366656466503
280,Cayman Islands,CYM,2006,6627.429200334626
281,Cayman Islands,CYM,2007,4493.96286534038
282,Cayman Islands,CYM,2008,743.636878186115
283,Cayman Islands,CYM,2009,1747.079022296159
284,Cayman Islands,CYM,2010,25.41865991569353
285,Cayman Islands,CYM,2011,45.87063517438265
286,Cayman Islands,CYM,2012,217.78160134625747
287,Cayman Islands,CYM,2013,35.20645052364823
288,Central African Republic,CAF,2005,21.300416107085766
289,Central African Republic,CAF,2006,-3.405810129523161
290,Central African Republic,CAF,2007,-225.61445267346156
291,Central African Republic,CAF,2008,-177.53228271724038
292,Central African Republic,CAF,2009,31.13922845449269
293,Central African Republic,CAF,2010,0.7980741706905974
294,Central African Republic,CAF,2011,-150.54119109118665
295,Central African Republic,CAF,2012,-96.75650783237823
296,Central African Republic,CAF,2013,-88.46050934509503
297,Chad,TCD,2005,23.27539023393183
298,Chad,TCD,2006,5.595792485992206
299,Chad,TCD,2007,14.352729207970242
300,Chad,TCD,2008,14.903830669284616
301,Chad,TCD,2009,73.54301571620272
302,Chad,TCD,2010,159.23435709432215
303,Chad,TCD,2011,-6.139722346264534
304,Chad,TCD,2012,-12.311782388638676
305,Chad,TCD,2013,-6.682348948118488
306,Chile,CHL,2005,24507.61878068962
307,Chile,CHL,2006,19376.443497283217
308,Chile,CHL,2007,36449.636977112
309,Chile,CHL,2008,33276.223681592
310,Chile,CHL,2009,37190.15251931227
311,Chile,CHL,2010,31897.148720356283
312,Chile,CHL,2011,27696.423339328885
313,Chile,CHL,2012,25361.67638994884
314,Chile,CHL,2013,26662.602775021704
315,China,CHN,2005,149357.91818933285
316,China,CHN,2006,171139.46372269062
317,China,CHN,2007,154436.96259728135
318,China,CHN,2008,150654.10159678847
319,China,CHN,2009,188946.85510863992
320,China,CHN,2010,215512.2609176964
321,China,CHN,2011,220344.3150551685
322,China,CHN,2012,276111.3234392081
323,China,CHN,2013,270174.0556825453
324,Colombia,COL,2005,7598.470796690381
325,Colombia,COL,2006,4567.15366062519
326,Colombia,COL,2007,-1346.9322337335907
327,Colombia,COL,2008,-9464.127859002663
328,Colombia,COL,2009,2472.8568591198127
329,Colombia,COL,2010,11453.281163531428
330,Colombia,COL,2011,12617.380050784006
331,Colombia,COL,2012,15013.3652642722
332,Colombia,COL,2013,6077.618752075781
333,Congo,COG,2005,-936.4587347012712
334,Congo,COG,2006,-798.216944492051
335,Congo,COG,2007,-745.8023830311977
336,Congo,COG,2008,-61.47393585044483
337,Congo,COG,2009,1880.2971175733765
338,Congo,COG,2010,-753.243184265486
339,Congo,COG,2011,-554.2207797384544
340,Congo,COG,2012,-1815.4400877191947
341,Congo,COG,2013,-2299.8540291462086
342,Cook Islands,COK,2005,1.200044017036242
343,Cook Islands,COK,2006,1.2148571676952704
344,Cook Islands,COK,2007,3.2675781650302524
345,Cook Islands,COK,2008,4.45409703005781
346,Cook Islands,COK,2009,3.9468958206646887
347,Cook Islands,COK,2010,7.90036868695242
348,Cook Islands,COK,2011,4.010689537372227
349,Cook Islands,COK,2012,5.015614895881695
350,Cook Islands,COK,2013,4.781795490609457
351,Costa Rica,CRI,2005,594.4111379442688
352,Costa Rica,CRI,2006,194.85673522335992
353,Costa Rica,CRI,2007,109.61539662881978
354,Costa Rica,CRI,2008,-343.0692298143631
355,Costa Rica,CRI,2009,-1231.801503329054
