,Entity,Code,Year,Imported Deforestation
261,Canada,CAN,2005,5387.216305163992
262,Canada,CAN,2006,5533.022948961417
263,Canada,CAN,2007,6331.469014438771
264,Canada,CAN,2008,5030.494172099739
265,Canada,CAN,2009,5503.007116610943
266,Canada,CAN,2010,6050.570249285576
267,Canada,CAN,2011,5542.45849958118
268,Canada,CAN,2012,5744.721993414849
269,Canada,CAN,2013,5401.245027811636
270,Cape Verde,CPV,2005,169.23590589098393
271,Cape Verde,CPV,2006,224.5620265392368
272,Cape Verde,CPV,2007,234.88271077893643
273,Cape Verde,CPV,2008,230.85490102024
274,Cape Verde,CPV,2009,192.1516134647804
275,Cape Verde,CPV,2010,201.13324885245464
276,Cape Verde,CPV,2011,206.31682173185027
277,Cape Verde,CPV,2012,225.29909264433152
278,Cape Verde,CPV,2013,279.16790893541054
279,Cayman Islands,CYM,2005,5123.366656466503
280,Cayman Islands,CYM,2006,6627.429200334626
281,Cayman Islands,CYM,2007,4493.96286534038
282,Cayman Islands,CYM,2008,743.636878186115
283,Cayman Islands,CYM,2009,1747.079022296159
284,Cayman Islands,CYM,2010,25.41865991569353
285,Cayman Islands,CYM,2011,45.87063517438265
286,Cayman Islands,CYM,2012,217.78160134625747
287,Cayman Islands,CYM,2013,35.20645052364823
288,Central African Republic,CAF,2005,48.941719208793074
289,Central African Republic,CAF,2006,7.805721683027514
290,Central African Republic,CAF,2007,40.45390109063828
291,Central African Republic,CAF,2008,72.54615220350024
292,Central African Republic,CAF,2009,64.3447737405586
293,Central African Republic,CAF,2010,65.54058575768431
294,Central African Republic,CAF,2011,65.93036979087356
295,Central African Republic,CAF,2012,57.61016393601221
296,Central African Republic,CAF,2013,47.78050773233281
297,Chad,TCD,2005,27.238260991793595
298,Chad,TCD,2006,10.309003399315316
299,Chad,TCD,2007,19.438916841412265
300,Chad,TCD,2008,18.69591697171745
301,Chad,TCD,2009,78.35240244751276
302,Chad,TCD,2010,164.65046848590646
303,Chad,TCD,2011,18.084614985951703
304,Chad,TCD,2012,20.07941636202486
305,Chad,TCD,2013,15.06424093705391
306,Chile,CHL,2005,24507.61878068962
307,Chile,CHL,2006,19376.443497283217
308,Chile,CHL,2007,36449.636977112
309,Chile,CHL,2008,33276.223681592
310,Chile,CHL,2009,37190.15251931227
311,Chile,CHL,2010,31897.148720356283
312,Chile,CHL,2011,27696.423339328885
313,Chile,CHL,2012,25361.67638994884
314,Chile,CHL,2013,26662.602775021704
315,China,CHN,2005,149357.91818933285
316,China,CHN,2006,171139.46372269062
317,China,CHN,2007,154436.96259728135
318,China,CHN,2008,150654.10159678847
319,China,CHN,2009,188946.85510863992
320,China,CHN,2010,215512.2609176964
321,China,CHN,2011,220344.3150551685
322,China,CHN,2012,276111.3234392081
323,China,CHN,2013,270174.0556825453
324,Colombia,COL,2005,9519.972150630989
325,Colombia,COL,2006,8294.69982276854
326,Colombia,COL,2007,10597.327365277451
327,Colombia,COL,2008,11258.076611485563
328,Colombia,COL,2009,13089.734620796196
329,Colombia,COL,2010,12315.564807039598
330,Colombia,COL,2011,14141.8929794781
331,Colombia,COL,2012,17827.884869777918
332,Colombia,COL,2013,11752.870463784971
333,Congo,COG,2005,328.99009263158405
334,Congo,COG,2006,488.2409582968157
335,Congo,COG,2007,597.0665708235865
336,Congo,COG,2008,655.9615502007637
337,Congo,COG,2009,3046.4557097019588
338,Congo,COG,2010,1579.1352886786935
339,Congo,COG,2011,1493.2732826963802
340,Congo,COG,2012,1310.627037418475
341,Congo,COG,2013,602.9662809030342
342,Cook Islands,COK,2005,1.200044017036242
343,Cook Islands,COK,2006,1.2148571676952704
344,Cook Islands,COK,2007,3.2675781650302524
345,Cook Islands,COK,2008,4.45409703005781
346,Cook Islands,COK,2009,3.9468958206646887
347,Cook Islands,COK,2010,7.90036868695242
348,Cook Islands,COK,2011,4.010689537372227
349,Cook Islands,COK,2012,5.015614895881695
350,Cook Islands,COK,2013,4.781795490609457
351,Costa Rica,CRI,2005,1299.6789445507172
352,Costa Rica,CRI,2006,1143.9647478639283
353,Costa Rica,CRI,2007,1348.626477197652
354,Costa Rica,CRI,2008,1537.1000125764103
355,Costa Rica,CRI,2009,912.4799753467514
356,Costa Rica,CRI,2010,836.44594751165
357,Costa Rica,CRI,2011,1017.3430943165722
358,Costa Rica,CRI,2012,1195.1167611077
359,Costa Rica,CRI,2013,2432.762891552582
360,Cote d'Ivoire,CIV,2005,640.7314261453721
361,Cote d'Ivoire,CIV,2006,852.593282547612
362,Cote d'Ivoire,CIV,2007,779.346715081796
363,Cote d'Ivoire,CIV,2008,824.2928764422759
364,Cote d'Ivoire,CIV,2009,1303.8017844400674
365,Cote d'Ivoire,CIV,2010,1633.363777626073
366,Cote d'Ivoire,CIV,2011,1318.6345390754325
367,Cote d'Ivoire,CIV,2012,1307.2222057801591
368,Cote d'Ivoire,CIV,2013,819.3359063476546
369,Croatia,HRV,2005,1631.4015496348482
370,Croatia,HRV,2006,1706.7051742954989
371,Croatia,HRV,2007,1588.3840849779313
372,Croatia,HRV,2008,1120.233069708397
373,Croatia,HRV,2009,903.6928756621978
374,Croatia,HRV,2010,818.6889584583935
375,Croatia,HRV,2011,733.3937890391115
376,Croatia,HRV,2012,915.0281007629586
377,Croatia,HRV,2013,741.4627994139273
378,Cuba,CUB,2005,2168.0798629922465
379,Cuba,CUB,2006,2753.547715026958
380,Cuba,CUB,2007,1272.3040891338078
381,Cuba,CUB,2008,1610.046551164125
382,Cuba,CUB,2009,640.6075463472498
383,Cuba,CUB,2010,1742.8678737292705
384,Cuba,CUB,2011,1829.3824057452675
385,Cuba,CUB,2012,2118.81716592269
386,Cuba,CUB,2013,2297.5679574174083
387,Cyprus,CYP,2005,597.209589407185
388,Cyprus,CYP,2006,539.9317347170005
389,Cyprus,CYP,2007,599.9141011466854
390,Cyprus,CYP,2008,705.9332003126915
391,Cyprus,CYP,2009,667.9000148992069
392,Cyprus,CYP,2010,493.1122982489759
393,Cyprus,CYP,2011,453.94235007556455
394,Cyprus,CYP,2012,484.0977319244495
395,Cyprus,CYP,2013,400.2523007941369
396,Democratic Republic of Congo,COD,2005,1003.1935063352356
397,Democratic Republic of Congo,COD,2006,1020.9209188087408
398,Democratic Republic of Congo,COD,2007,1988.5943699669297
399,Democratic Republic of Congo,COD,2008,2258.7507675745
