"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020"
"Gabon","10.24","14.74","19.25","19.25","4.13","9.68","7.37","7.37","","","","","","","",""
"Gambia","","","","","","","","","","","","","","","",""
"Georgia","0.00","0.00","0.00","0.00","0.83","6.18","0.00","0.00","0.60","4.97","0.00","0.00","0.23","1.20","0.00","0.00"
"Germany","6.80","5.83","7.00","7.00","12.20","11.33","9.00","7.00","8.00","9.00","7.00","4.00","4.00","2.00","2.00","3.00"
"Ghana","","","","","","","","","","","","","","","",""
"Gibraltar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","",""
"Greece","","","","","","","","","","","","","","","",""
"Greenland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Grenada","","","","","","","","","","","","","","","",""
"Guadeloupe","0.25","0.18","0.26","0.25","0.16","0.11","0.39","0.19","0.00","0.00","0.00","0.00","0.16","0.11","0.39","0.19"
"Guam","","","","","","","","","","","","","","","",""
"Guatemala","57.20","48.66","27.36","11.60","0.00","0.00","0.00","0.00","","","","","","","",""
"Guernsey (Desk study)","","","","","","","","","","","","","","","",""
"Guinea","46.70","","","","12.00","","","","12.00","","","","0.00","","",""
"Guinea-Bissau (Desk study)","","","","","","","","","","","","","","","",""
"Guyana","3.79","4.44","11.69","9.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Haiti","","","","","","","","","","","","","","","",""
"Holy See (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","23.30","22.81","24.40","23.19","2.35","2.53","2.07","2.28","","","","","","","",""
"Hungary","0.83","1.43","1.55","3.14","11.56","13.95","4.44","1.58","6.21","10.02","1.03","0.46","5.35","3.93","3.40","1.12"
"Iceland","0.00","0.00","0.00","0.00","1.28","1.48","0.70","0.64","1.23","1.44","0.66","0.60","0.04","0.04","0.04","0.04"
"India","384.00","629.50","668.40","668.40","749.30","820.00","934.80","934.80","","","","","","","",""
"Indonesia","2526.00","969.00","","650.00","799.50","806.92","","71.06","","","","","","","",""
"Iran (Islamic Republic of)","","","","","","","","","","","","","","","",""
"Iraq","0.00","0.00","0.00","0.00","1.40","0.70","0.00","0.00","0.00","0.00","0.00","0.00","1.40","0.70","0.00","0.00"
"Ireland","0.62","0.62","0.62","0.62","17.49","9.62","7.48","6.09","16.00","8.13","5.99","4.60","0.25","0.25","0.25","0.25"
"Isle of Man (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Israel","","","","","","","","","","","0.83","0.35","","","",""
"Italy","","","3.69","","","","57.50","","14.88","8.15","6.84","","","","50.65",""
"Jamaica","0.89","0.68","0.62","0.54","0.86","4.42","4.42","4.43","0.00","0.01","0.01","0.01","0.86","4.41","4.30","3.53"
"Japan","","","","","","","","","","","","","","","",""
"Jersey (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Jordan","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","","","","","","","","","",""
"Kenya","","","","","","","","","","","","","","","",""
"Kiribati (Desk study)","","","","","","","","","","","","","","","",""
"Kuwait (Desk study)","0.00","0.00","0.00","0.00","0.14","0.14","0.00","0.00","0.14","0.14","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","0.00","0.00","0.00","0.00","4.45","4.88","4.43","12.71","2.15","2.88","2.43","3.80","2.30","2.00","2.00","8.91"
"Lao People's Democratic Republic","","","","","","","","","","","","","","","",""
"Latvia","0.00","0.40","0.31","0.36","6.80","13.51","4.17","4.23","0.00","1.44","2.13","1.95","6.80","12.07","2.04","2.28"
"Lebanon","","","","","","","","","","","","","","","",""
"Lesotho","","","","","","","","","","","","","","","",""
"Liberia","30.26","30.26","30.26","30.26","0.00","0.00","0.00","0.00","","","","","","","",""
"Libya (Desk study)","","","","","","","","","","","","","","","",""
"Liechtenstein","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.03","0.03","0.03","0.03","","","",""
"Lithuania","","0.14","0.14","0.14","","15.14","3.54","2.94","","2.00","3.16","2.07","","13.14","0.38","0.87"
"Luxembourg","","","","","","","","","","","","","0.09","0.20","0.00","0.00"
"Madagascar","70.50","","","","3.60","","","","3.60","","","","","","",""
"Malawi","42.00","42.00","42.00","42.00","0.00","0.00","0.00","0.00","","","","","","","",""
"Malaysia","","","","","","","","","","","","","","","",""
"Maldives","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mali","84.00","109.00","79.00","0.00","5.00","30.00","0.00","0.00","5.00","30.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Malta","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","","","","","","","","","","","",""
"Martinique","0.08","0.14","0.16","0.16","0.17","0.29","0.36","0.36","0.15","0.09","0.01","0.00","0.02","0.20","0.35","0.36"
"Mauritania","37.72","40.44","42.79","45.38","32.28","35.00","37.35","39.93","32.28","2.08","2.35","2.50","","","",""
"Mauritius","0.01","0.36","0.10","0.12","0.10","0.01","0.08","0.21","","","","","","","",""
"Mayotte","0.37","0.21","0.06","0.06","0.03","0.08","0.01","0.01","0.03","0.08","0.01","0.01","0.00","0.00","0.00","0.00"
"Mexico","685.81","424.85","211.61","165.82","464.78","281.05","89.13","38.05","0.78","2.71","3.51","3.30","464.00","278.34","85.63","34.75"
"Micronesia (Federated States of)","","","","","","","","","","","","","","","",""
"Monaco (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","9.06","8.25","1.52","1.52","0.25","0.25","0.41","0.41","0.11","0.15","0.30","0.30","0.14","0.10","0.10","0.10"
"Montenegro","","","28.20","12.00","","","28.20","12.00","","","0.50","0.30","","","27.70","11.70"
"Montserrat (Desk study)","","","","","","","","","","","","","","","",""
"Morocco","0.78","1.08","8.72","0.00","2.90","17.88","10.74","11.56","2.90","17.88","10.88","11.56","0.00","0.00","0.00","0.00"
"Mozambique","219.00","267.03","267.03","267.03","0.00","45.44","60.60","27.78","0.00","","","","0.00","","",""
"Myanmar","435.00","370.15","309.87","293.92","0.00","27.45","20.16","4.21","0.00","27.45","20.16","4.21","","","",""
"Namibia","","","","","","","","","","","","","","","",""
"Nauru (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","0.12","1.87","0.00","0.00","11.00","20.00","0.00","0.00","4.00","8.00","0.00","0.00","7.00","12.00","0.00","0.00"
"Netherlands","1.14","2.60","4.52","2.19","2.56","4.00","2.79","3.12","2.56","4.00","2.79","3.12","0.00","0.00","0.00","0.00"
"New Caledonia (Desk study)","","","","","","","","","0.08","0.06","","","","","",""
"New Zealand","15.48","18.03","8.61","6.58","63.30","17.80","8.31","15.78","62.00","15.00","8.00","12.00","1.30","2.80","0.31","3.90"
"Nicaragua","100.20","122.49","61.15","105.03","0.20","1.37","5.03","5.03","0.20","1.37","5.03","5.03","0.00","0.00","0.00","0.00"
"Niger","64.19","14.92","14.92","14.92","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","","","",""
"Nigeria","163.31","163.31","163.31","163.31","0.01","0.00","0.00","0.01","","","","","","","",""
"Niue","","","","","","","","","","","","","","","",""
"Norfolk Island (Desk study)","","","","","","","","","","","","","","","",""
"North Macedonia (Desk study)","","","","","","","","","","0.71","0.76","0.40","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","",""
"Norway","4.92","6.50","5.98","5.82","3.02","5.40","13.78","13.62","0.96","0.32","0.18","0.15","2.06","5.08","13.60","13.47"
"Oman","","","","","","","","","","","","","","","",""
"Pakistan","","","","","","","","","","","","","","","",""
"Palau","","","","","","","","","","","","","","","",""
"Palestine (Desk study)","","","","","","","","","","","","","","","",""
"Panama","18.95","13.73","12.52","12.49","2.42","2.31","1.10","1.08","2.42","2.31","1.10","1.08","","","",""
"Papua New Guinea","12.17","9.91","30.90","33.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Paraguay","255.42","342.14","414.25","279.34","0.00","0.00","0.00","0.00","","","","","","","",""
"Peru","160.28","150.28","188.50","179.09","45.21","25.48","17.45","6.26","45.21","25.48","17.45","6.26","0.00","0.00","0.00","0.00"
"Philippines","","","","","","","","","","","","","","","",""
"Pitcairn (Desk study)","","","","","","","","","","","","","","","",""
"Poland","0.51","0.58","0.62","0.77","18.21","27.58","18.82","13.37","","","","","","","",""
"Portugal","","","39.60","","","","51.60","","","","26.50","","","","25.10",""
"Puerto Rico","","","","","","","","","","","","","","","",""
"Qatar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","7.50","8.90","10.00","10.00","0.00","0.00","0.00","0.00","","","","","","","",""
"Republic of Moldova","0.88","1.80","0.93","0.34","2.78","4.81","3.31","0.36","0.43","4.81","0.27","0.36","","","",""
"Réunion","0.00","0.00","0.00","0.00","0.30","0.30","0.41","0.48","","","","","","","",""
"Romania","","0.18","0.11","0.02","","15.08","69.31","13.63","1.13","2.76","1.10","0.48","","","",""
"Russian Federation","0.00","0.00","41.03","0.00","31.86","586.71","0.00","76.23","0.00","0.00","0.00","0.00","31.86","586.71","0.00","76.23"
"Rwanda (Desk study)","","","","","","","","","","","","","","","",""
"Saint Barthélemy (Desk study)","","","","","","","","","0.00","0.00","0.00","0.00","","","",""
"Saint Helena (Desk study)","","","","","","","","","0.00","0.00","0.00","0.00","","","",""
"Saint Kitts and Nevis (Desk study)","","","","","","","","","","","","","","","",""
"Saint Lucia","","","","","","","","","","","","","","","",""
"Saint Pierre and Miquelon (Desk study)","","","","","","","","","0.00","0.00","0.00","0.00","","","",""
"Saint Vincent and the Grenadines","","","","","","","","","","","","","","","",""
"Saint-Martin (French Part) (Desk study)","","","","","","","","","","","","","","","",""
"Samoa","","","","","","","","","","","","","","","",""
"San Marino (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","0.03","0.03","0.62","0.62","0.00","0.00","0.00","0.00","","","","","","","",""
"Saudi Arabia (Desk study)","","","","","","","","","","","","","","","",""
"Senegal","","","51.00","51.00","","","11.00","11.00","","","","","","","",""
"Serbia","0.00","0.00","0.09","0.04","14.70","25.30","1.40","0.66","1.67","2.50","0.40","0.37","0.14","22.80","1.00","0.23"
"Seychelles","","","","","","","","","","","","","","","",""
"Sierra Leone","","","","","","","","","","","","","","","",""
"Singapore","0.28","0.14","0.30","0.24","0.50","0.21","0.05","0.06","0.00","0.00","0.00","0.00","0.50","0.21","0.05","0.06"
"Sint Maarten (Dutch part) (Desk study)","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","2.09","0.20","0.06","0.12","","","",""
"Slovenia","0.00","0.38","0.30","2.03","4.50","1.78","0.50","0.00","0.00","0.00","0.00","0.00","4.50","1.78","0.50","0.00"
"Solomon Islands","","","","","","","","","","","","","","","",""
"Somalia","76.75","76.75","76.75","76.75","0.00","0.00","0.00","0.00","","","","","","","",""
"South Africa","399.00","399.00","199.00","199.00","362.60","362.60","162.60","162.60","218.00","37.00","6.00","3.00","0.00","0.00","0.00","0.00"
"South Sudan","","","","","","","","","","","","","","","",""
"Spain","","5.70","1.98","3.74","","150.84","3.15","7.94","133.78","40.77","10.72","4.66","185.15","110.07","","3.28"
"Sri Lanka","","","","","","","","","","","","","","","",""
"Sudan","403.73","381.70","272.54","264.00","226.98","209.54","98.29","93.92","","","","","226.98","209.54","98.29","93.92"
"Suriname","3.68","4.11","9.86","11.65","0.00","0.01","0.22","0.57","","","","","","","",""
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sweden","11.49","20.82","38.15","13.05","21.49","11.82","19.55","13.05","8.87","11.82","19.55","13.05","12.62","0.00","0.00","0.00"
"Switzerland","1.16","1.05","1.34","1.34","5.43","4.90","4.78","4.78","0.08","0.07","0.00","0.00","3.46","3.12","3.36","3.36"
"Syrian Arab Republic","77.25","46.18","11.94","","83.25","51.05","15.49","0.05","","","","","","","",""
"Tajikistan","","","","","","","","","","","","","","","",""
"Thailand","63.00","18.00","94.40","37.60","26.70","125.50","92.00","0.00","26.70","125.50","92.00","0.00","0.00","0.00","0.00","0.00"
"Timor-Leste","","","","","","","","","","","","","","","",""
