"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Liechtenstein","6.30","6.10","6.10","6.10","6.10","6.10","6.10","6.10","6.10","0.20","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60"
"Lithuania","1534.02","1553.78","1634.23","1601.98","1594.08","1591.66","1593.00","1592.00","1590.00","410.98","466.22","535.77","585.02","595.92","604.34","605.00","608.00","611.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","0.00","","0.00","0.00","0.00","410.98","466.22","535.77","585.02","595.92","604.34","605.00","608.00","611.00"
"Luxembourg","57.70","58.70","58.70","58.70","58.70","58.70","58.70","58.70","58.70","28.10","28.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.10","28.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00"
"Madagascar","13462.45","12758.67","12146.98","12183.89","12170.68","12157.46","12144.24","12131.03","12117.81","231.00","272.00","415.00","312.00","312.00","312.00","312.00","312.00","312.00","231.00","272.00","415.00","312.00","312.00","312.00","312.00","312.00","312.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Malawi","3362.60","2963.70","2564.90","2365.50","2325.60","2285.70","2245.80","2205.90","2166.00","139.10","118.00","96.80","86.20","84.10","82.00","79.90","77.80","75.70","139.10","118.00","96.80","86.20","84.10","82.00","79.90","77.80","75.70","139.10","118.00","96.80","86.20","84.10","82.00","79.90","77.80","75.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Malaysia","18683.82","18063.83","17638.74","17756.22","17585.85","17543.61","17501.38","17459.15","17416.92","1934.68","1627.52","1308.91","1708.00","1728.79","1720.88","1712.96","1705.04","1697.12","1934.68","1627.52","1308.91","1708.00","1728.79","1720.88","1712.96","1705.04","1697.12","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Maldives","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mali","13291.00","13241.00","12766.00","12732.00","12730.00","12728.00","12728.00","12728.00","12728.00","5.00","55.00","530.00","564.00","566.00","568.00","568.00","568.00","568.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","55.00","530.00","564.00","566.00","568.00","568.00","568.00","568.00"
"Malta","0.35","0.35","0.35","0.35","0.35","0.38","0.42","0.42","0.42","0.00","0.00","0.00","0.00","0.03","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","0.03","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Marshall Islands","6.27","6.27","6.27","6.27","6.27","6.27","6.27","6.27","6.27","3.13","3.13","3.13","3.13","3.13","3.13","3.13","3.13","3.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.13","3.13","3.13","3.13","3.13","3.13","3.13","3.13","3.13"
"Martinique","45.40","46.15","47.61","48.69","48.79","48.99","49.19","49.35","49.59","2.44","2.59","2.68","2.70","2.70","2.70","2.70","2.70","2.70","2.44","2.59","2.65","2.66","2.66","2.66","2.66","2.66","2.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.04","0.04","0.04","0.04","0.04","0.04"
"Mauritania","465.97","400.39","334.81","302.02","295.47","288.90","282.40","275.80","269.30","10.07","21.25","32.43","38.02","39.13","40.24","41.35","42.46","43.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.07","21.25","32.43","38.02","39.13","40.24","41.35","42.46","43.57"
"Mauritius","23.82","23.82","20.31","20.30","20.30","20.30","20.30","20.30","20.30","17.25","18.11","18.05","18.00","17.99","17.98","17.97","17.96","17.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.25","18.11","18.05","18.00","17.99","17.98","17.97","17.96","17.95"
"Mayotte","19.87","15.53","13.95","13.65","13.57","13.54","13.49","13.44","13.39","0.17","0.30","0.46","0.50","0.52","0.52","0.53","0.54","0.55","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.14","0.27","0.43","0.47","0.49","0.49","0.50","0.51","0.52"
"Mexico","70552.22","68341.59","66876.79","66247.05","66115.98","65984.91","65853.84","65722.77","65591.70","39.43","39.76","66.51","83.86","87.16","90.47","93.77","97.07","100.38","38.83","34.52","61.85","75.47","75.47","75.47","75.47","75.47","75.47","","","","","","","","","","0.60","5.24","4.66","8.39","11.69","15.00","18.30","21.60","24.91"
"Micronesia (Federated States of)","43.33","46.63","49.92","50.06","50.09","50.12","50.15","50.18","50.21","20.25","17.23","14.21","14.21","14.21","14.21","14.21","14.21","14.21","20.25","17.23","14.21","14.21","14.21","14.21","14.21","14.21","14.21","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Monaco (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","14347.60","14254.87","14173.70","14170.68","14171.87","14168.43","14167.32","14166.21","14165.10","4.40","9.03","10.12","7.65","5.35","7.68","7.68","7.68","7.68","4.40","9.03","10.12","7.65","5.35","7.68","7.68","7.68","7.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Montenegro","618.00","618.00","819.00","819.00","819.00","819.00","819.00","819.00","819.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","8.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Montserrat (Desk study)","3.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Morocco","5166.89","5162.24","5151.47","5107.59","5107.59","5107.59","5107.59","5107.59","5107.59","318.40","344.30","523.10","576.80","591.90","603.20","613.70","624.20","634.60","318.40","344.30","523.10","576.80","591.90","603.20","613.70","624.20","634.60","218.43","201.19","205.56","210.52","209.51","208.70","207.90","207.10","206.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mozambique","43340.00","41150.00","38917.50","37874.01","37562.30","37338.63","37154.16","36894.00","36669.49","38.00","38.00","54.64","65.99","65.99","67.97","70.01","72.11","74.27","38.00","38.00","54.64","65.99","65.99","67.97","70.01","72.11","74.27","38.00","38.00","54.64","65.99","65.99","67.97","70.01","72.11","74.27","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00"
"Myanmar","39187.30","34837.28","31134.92","29586.42","29284.52","28986.26","28696.72","28407.17","28117.63","30.70","30.72","305.24","406.02","418.38","427.09","427.09","427.09","427.09","30.70","30.72","305.24","406.02","418.38","427.09","427.09","427.09","427.09","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Namibia","8769.17","8059.08","7348.99","6993.95","6922.94","6851.93","6780.92","6709.91","6638.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nauru (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","5584.08","5643.09","5741.43","5741.43","5741.43","5741.43","5741.43","5741.43","5741.43","87.92","137.67","220.60","220.60","220.60","220.60","220.60","220.60","220.60","87.92","137.67","220.60","220.60","220.60","220.60","220.60","220.60","220.60","17.58","27.53","44.12","44.12","44.12","44.12","44.12","44.12","44.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Netherlands","49.95","45.94","40.87","39.93","39.52","39.12","38.72","38.32","37.92","295.38","313.56","332.61","324.90","326.24","327.58","328.91","330.25","331.58","31.00","4.00","4.00","3.00","3.00","3.00","3.00","3.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","264.38","309.56","328.61","321.90","323.24","324.58","325.91","327.25","328.58"
"New Caledonia (Desk study)","822.09","828.01","829.24","828.63","828.13","828.03","827.93","827.83","827.73","9.04","9.84","10.39","10.39","10.39","10.39","10.39","10.39","10.39","9.04","9.84","10.39","10.39","10.39","10.39","10.39","10.39","10.39","9.00","9.40","9.76","9.76","9.76","9.76","9.76","9.76","9.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"New Zealand","7841.16","7825.32","7823.80","7821.51","7820.90","7803.22","7802.54","7803.52","7808.10","1531.12","2025.12","2024.32","2025.10","2025.86","2047.63","2052.61","2062.00","2084.48","1531.12","2025.12","2024.32","2025.10","2025.86","2047.63","2052.61","2062.00","2084.48","1531.12","2025.12","2024.32","2025.10","2025.86","2047.63","2052.61","2062.00","2084.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nicaragua","6399.03","5397.06","4172.19","3866.42","3761.39","3656.36","3551.33","3446.30","3341.27","0.29","2.26","15.96","41.11","46.14","51.17","56.20","61.23","66.26","0.29","2.26","15.96","41.11","46.14","51.17","56.20","61.23","66.26","0.00","0.23","1.16","4.25","4.87","5.49","6.11","6.73","7.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger","1897.00","1255.10","1105.90","1031.80","1016.88","1001.96","987.04","972.12","957.20","48.00","73.00","98.00","110.00","112.50","115.00","117.50","120.00","122.50","48.00","73.00","98.00","110.00","112.50","115.00","117.50","120.00","122.50","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nigeria","26260.30","24644.11","23027.38","22219.02","22057.35","21895.68","21734.01","21572.35","21410.68","265.26","248.93","232.60","224.43","222.80","221.17","219.54","217.90","216.27","265.26","248.93","232.60","224.43","222.80","221.17","219.54","217.90","216.27","105.00","135.00","165.00","200.00","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niue","18.93","18.83","18.77","18.82","18.83","18.84","18.85","18.86","18.87","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Norfolk Island (Desk study)","0.44","0.44","0.44","0.44","0.44","0.44","0.44","0.44","0.44","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"North Macedonia (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","33.61","31.96","30.32","29.49","24.36","24.36","24.36","24.36","24.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Norway","","","11987.00","12033.00","12040.80","12048.60","12056.40","12064.20","12072.00","","","115.00","108.00","108.00","108.00","108.00","108.00","108.00","","","115.00","108.00","108.00","108.00","108.00","108.00","108.00","","","75.00","76.00","76.00","76.00","76.00","76.00","76.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Oman","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","1.00","1.00","1.00","1.00","0.80","0.70","0.60","0.50","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","1.00","0.80","0.70","0.60","0.50","0.50"
"Pakistan","4732.89","4257.36","3839.83","3678.70","3614.34","3596.02","3554.68","3513.34","3472.00","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","253.90","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palestine (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","4596.35","4409.34","4272.10","4209.53","4196.75","4184.03","4172.05","4160.07","4148.10","11.05","32.80","55.89","61.38","62.75","64.05","64.62","65.18","65.74","11.05","32.80","55.89","61.38","62.75","64.05","64.62","65.18","65.74","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Papua New Guinea","36339.49","36217.12","36117.92","35963.27","35929.69","35896.16","35862.63","35829.10","35795.57","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","60.75","23.55","23.55","23.55","23.55","23.55","23.55","23.55","23.55","23.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Paraguay","25535.62","22961.13","19519.41","17400.41","17223.17","16818.89","16528.12","16237.37","15946.60","10.24","30.52","50.80","98.53","109.96","121.38","132.81","144.23","155.66","10.24","30.52","50.80","98.53","109.96","121.38","132.81","144.23","155.66","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Peru","76185.54","74582.74","73079.88","72137.36","71945.89","71765.01","71600.04","71420.97","71241.90","263.00","715.09","969.92","1057.17","1064.39","1069.77","1076.00","1082.23","1088.47","263.00","715.09","969.92","1057.17","1064.39","1069.77","1076.00","1082.23","1088.47","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Philippines","7488.19","6988.68","6489.16","6648.62","6680.51","6712.40","6744.29","6776.18","6808.07","290.62","320.59","350.55","365.54","368.53","371.53","374.53","377.52","380.52","290.62","320.59","350.55","365.54","368.53","371.53","374.53","377.52","380.52","261.56","288.53","315.50","328.98","331.68","334.38","337.08","339.77","342.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pitcairn (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","2054.00","","","","","","","","","7366.00","","","","","","","","","4.00","","","","","","","","","0.18","","","","","","","","","7362.00","","","","",""
"Portugal","1326.00","1013.00","1030.00","1056.00","1056.00","1056.00","1056.00","1056.00","1056.00","2073.00","2268.00","2222.00","2256.00","2256.00","2256.00","2256.00","2256.00","2256.00","574.00","623.00","680.00","695.00","695.00","695.00","695.00","695.00","695.00","574.00","623.00","680.00","695.00","695.00","695.00","695.00","695.00","695.00","1499.00","1645.00","1542.00","1561.00","1561.00","1561.00","1561.00","1561.00","1561.00"
"Puerto Rico","320.33","429.15","491.45","493.88","494.37","494.86","495.35","495.84","496.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Qatar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","4641.81","4403.68","4151.55","4055.68","4047.28","4042.88","4036.48","4030.08","4023.68","1909.19","2072.32","2235.45","2281.32","2277.72","2274.12","2270.52","2266.92","2263.32","1909.19","2072.32","2235.45","2281.32","2277.72","2274.12","2270.52","2266.92","2263.32","507.00","550.41","593.74","606.83","604.80","604.01","603.19","602.66","601.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Moldova","179.00","189.40","162.50","167.70","167.70","167.70","167.70","167.70","167.70","146.40","155.00","212.00","218.70","218.80","218.80","218.80","218.80","218.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","146.40","155.00","212.00","218.70","218.80","218.80","218.80","218.80","218.80"
"Réunion","77.25","80.27","83.29","85.34","85.82","86.30","86.78","87.26","87.74","10.70","10.70","10.70","10.70","10.70","10.70","10.70","10.70","10.70","9.70","9.70","9.70","9.70","9.70","9.70","9.70","9.70","9.70","7.70","7.70","7.70","7.70","7.70","7.70","7.70","7.70","7.70","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Romania","5843.00","5838.00","5975.00","5944.47","6033.98","6033.98","6033.98","6033.98","6033.98","528.00","528.00","540.00","956.49","895.07","895.07","895.07","895.07","895.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","528.00","528.00","540.00","956.49","895.07","895.07","895.07","895.07","895.07"
"Russian Federation","796298.70","793908.10","795522.70","795089.50","795760.50","796431.50","796431.50","796431.50","796431.50","12651.20","15360.40","19612.90","19840.96","19360.53","18880.10","18880.10","18880.10","18880.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12651.20","15360.40","19612.90","19840.96","19360.53","18880.10","18880.10","18880.10","18880.10"
"Rwanda (Desk study)","204.00","161.00","126.00","126.00","126.00","126.00","126.00","126.00","126.00","113.00","126.50","138.01","144.00","146.00","147.00","148.00","149.00","150.00","113.00","126.50","138.01","144.00","146.00","147.00","148.00","149.00","150.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Barthélemy (Desk study)","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Helena (Desk study)","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Kitts and Nevis (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Lucia","18.65","18.05","17.45","17.45","17.45","17.45","17.45","17.45","17.45","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Pierre and Miquelon (Desk study)","1.90","1.67","1.44","1.33","1.31","1.29","1.26","1.24","1.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Vincent and the Grenadines","27.50","28.59","28.35","28.28","28.26","28.24","28.24","28.24","28.24","0.04","0.11","0.19","0.26","0.28","0.30","0.30","0.30","0.30","0.01","0.05","0.10","0.15","0.16","0.17","0.17","0.17","0.17","0.01","0.05","0.10","0.15","0.16","0.17","0.17","0.17","0.17","0.03","0.06","0.09","0.11","0.12","0.13","0.13","0.13","0.13"
"Saint-Martin (French Part) (Desk study)","1.24","1.24","1.24","1.24","1.24","1.24","1.24","1.24","1.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Samoa","170.99","166.21","161.43","159.05","158.58","158.11","157.64","157.17","156.70","5.13","5.09","5.05","5.04","5.04","5.04","5.04","5.04","5.04","2.94","3.41","3.89","4.13","4.18","4.23","4.28","4.33","4.38","","","","","","","","","","2.19","1.68","1.16","0.91","0.86","0.81","0.76","0.71","0.66"
"San Marino (Desk study)","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","58.62","58.36","58.10","55.00","54.38","53.76","53.14","52.52","51.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia (Desk study)","977.00","977.00","977.00","977.00","977.00","977.00","977.00","977.00","977.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal","9271.16","8821.16","8436.16","8236.16","8196.16","8156.16","8116.16","8076.16","8036.16","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Serbia","2274.00","2421.00","2533.00","2505.00","2443.04","2570.41","2582.49","2594.63","2606.82","39.00","39.00","180.40","215.00","277.14","151.45","139.51","127.59","115.83","0.00","0.00","21.17","23.71","21.05","33.53","33.81","34.08","34.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.00","39.00","159.23","191.29","256.09","117.92","105.70","93.51","81.48"
"Seychelles","28.52","28.52","28.52","28.52","28.52","28.52","28.52","28.52","28.52","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","4.90","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sierra Leone","3120.02","2921.58","2717.58","2615.58","2595.18","2574.78","2554.37","2533.97","2513.57","6.68","7.85","14.58","17.95","18.62","19.29","19.97","20.64","21.31","6.68","7.85","14.58","17.95","18.62","19.29","19.97","20.64","21.31","2.67","3.14","5.25","6.46","6.70","6.94","7.19","7.43","7.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Singapore","14.83","17.01","17.74","16.47","16.29","16.11","15.93","15.75","15.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
