"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Brazil","585339.90","547436.40","504252.40","493946.80","492058.90","490251.90","488548.00","486935.00","485396.00","3558.10","3652.20","7328.30","9937.90","10023.10","9839.70","10503.30","10863.50","11223.60","3558.10","3652.20","7328.30","9937.90","10023.10","9839.70","10503.30","10863.50","11223.60","3441.80","3536.30","7031.20","9510.20","9622.90","9431.80","10062.80","10405.50","10748.10","","","","","","","","",""
"British Virgin Islands (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","412.00","396.00","376.29","374.91","374.79","374.74","374.74","374.74","374.74","0.67","1.31","3.71","5.09","5.21","5.26","5.26","5.26","5.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.67","1.31","3.71","5.09","5.21","5.26","5.26","5.26","5.26"
"Bulgaria","2295.00","2442.00","2920.00","3009.00","3024.00","3047.00","3070.00","3093.00","3116.00","1032.00","933.00","817.00","824.00","817.00","807.00","797.00","787.00","777.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1032.00","933.00","817.00","824.00","817.00","807.00","797.00","787.00","777.00"
"Burkina Faso","7702.60","7148.20","6593.80","6316.60","6261.10","6205.70","6150.20","6094.80","6039.30","14.00","68.30","122.70","149.90","155.40","160.70","166.20","171.60","177.10","0.70","3.40","6.10","7.50","7.80","8.00","8.30","8.60","8.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.30","64.90","116.60","142.40","147.60","152.70","157.90","163.00","168.20"
"Burundi","115.10","80.97","80.97","166.67","166.67","166.67","166.67","166.67","166.67","161.38","112.97","112.97","112.97","112.97","112.97","112.97","112.97","112.97","161.38","112.97","112.97","112.97","112.97","112.97","112.97","112.97","112.97","161.38","112.97","112.97","112.97","112.97","112.97","112.97","112.97","112.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cabo Verde","13.68","13.68","13.68","13.68","13.68","13.68","13.68","13.68","13.68","1.70","26.04","29.04","30.54","30.84","31.14","31.44","31.74","32.04","1.70","26.04","29.04","30.54","30.84","31.14","31.44","31.74","32.04","1.70","26.04","29.04","30.54","30.84","31.14","31.44","31.74","32.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cambodia","10937.50","10681.09","10434.70","8302.55","8134.92","7967.29","7799.66","7632.03","7464.40","67.29","99.91","154.53","544.27","556.21","568.15","580.09","592.03","603.97","67.29","99.91","154.53","544.27","556.21","568.15","580.09","592.03","603.97","67.29","99.91","154.52","540.48","552.34","564.20","576.06","587.92","599.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cameroon","22481.90","21576.39","20859.38","20569.38","20511.38","20453.38","20395.38","20337.38","20279.38","18.10","21.10","41.10","51.10","53.10","55.10","57.10","59.10","61.10","18.10","21.10","41.10","51.10","53.10","55.10","57.10","59.10","61.10","18.10","21.10","41.10","51.10","53.10","55.10","57.10","59.10","61.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Canada","343654.68","338415.86","333306.46","331086.98","330621.30","330157.15","329693.01","329228.85","328764.71","4618.25","9386.11","14015.75","16028.73","16454.74","16881.90","17309.06","17736.23","18163.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4618.25","9386.11","14015.75","16028.73","16454.74","16881.90","17309.06","17736.23","18163.39"
